time,flux,residual,model
219.13398396346747,0.9462249369066352,0.03317734405794193,0.9130475928486933
219.15441761632246,0.9345676281932237,0.007962903363886609,0.9266047248293371
219.17485116894386,0.9233155174541094,-0.020221485014998875,0.9435370024691083
219.19528492109384,0.9124855524929237,-0.04322090606471929,0.955706458557643
219.2157185730175,0.9011351970712448,-0.05522576809111446,0.9563609651623592
219.2361521247076,0.8870220966788335,-0.05445246416512928,0.9414745608439627
219.2565857759255,0.8739549793902516,-0.03663789748745461,0.9105928768777062
219.27701952668576,0.8671229512870974,8.64696204753157e-05,0.8670364816666221
219.29745307721169,0.8620745186376448,0.04465237174299774,0.8174221468946471
219.31788672749826,0.8471266314670169,0.0765510775689936,0.7705755538980233
219.33832047732722,0.8198432095051887,0.0838182378540061,0.7360249716511826
219.35875412692258,0.7852877492078435,0.06296381653092253,0.722323932676921
219.37918767627707,0.7507119957228038,0.015220893339035424,0.7354911023837684
219.39962132517394,0.7228696438654815,-0.05496829379671608,0.7778379376621976
219.42005507359863,0.7151987738837052,-0.13218654594593793,0.8473853198296432
219.44048862179625,0.7721560383010837,-0.16581940337408108,0.9379754416751648
219.4609222697618,1.0032671679488072,-0.03680956614305564,1.0400767340918629
219.48135601726244,1.2203404119892711,0.07819694145467548,1.1421434705345956
219.50178956452146,1.4386513178078886,0.20633019286372978,1.2323211249441588
219.52222321132285,1.4516545303814372,0.1514328090942456,1.3002217212871916
219.54265685789142,1.3751569529270136,0.03669079077025783,1.3384661621567557
219.56309050398704,1.2983333846166756,-0.0454242833275289,1.3437576679442045
219.5835241498571,1.232773654059332,-0.08452932156213189,1.3173029756214638
219.60395779549435,1.175987279447254,-0.08853196279315556,1.2645192422404095
219.62439144065866,1.125051022535443,-0.06902842054606717,1.1940794430815103
219.64482508536457,1.0787263125645477,-0.03773273172047409,1.1164590442850217
219.6652587300705,1.0386081556159257,-0.003620568001872826,1.0422287236177985
219.6856924740714,1.008879291050575,0.0285009292082552,0.9803783618423199
219.70612601807807,0.9843349236024087,0.047382684551481646,0.9369522390509271
219.726559661387,0.9669248548720446,0.05271081573475578,0.9142140391372888
219.7469932046879,0.95083759474915,0.040354394134592075,0.9104832006145579
219.76742694753193,0.9383642987012725,0.01771180698389485,0.9206524917173776
219.78786048990878,0.926628510872196,-0.01066569080431956,0.9372942016765156
219.80829423204705,0.916929066314296,-0.035228327403257764,0.9521573937175538
219.828727873959,0.9049587665500177,-0.05283233502235196,0.9577911015723697
219.84916151540529,0.8915159081281273,-0.0574970345029816,0.9490129426311089
219.8695950566107,0.8768141395705453,-0.04714947833659566,0.923963617907141
